date,game_time,pitcher_name,pitcher_team,pitcher_throws,batter_name,batter_team,batter_position,batting_order,batter_bats
2024-08-17,4:10 PM ET,Luis Severino,Mets,R,Vidal Brujan,Marlins,RF,8,S
2024-08-17,4:10 PM ET,Luis Severino,Mets,R,Nick Fortes,Marlins,C,9,R
2024-08-17,4:10 PM ET,Max Meyer,Marlins,R,F. Lindor,Mets,SS,1,S
2024-08-17,4:10 PM ET,Max Meyer,Marlins,R,Mark Vientos,Mets,3B,2,R
2024-08-17,4:10 PM ET,Max Meyer,Marlins,R,B. Nimmo,Mets,LF,3,L
2024-08-17,4:10 PM ET,Max Meyer,Marlins,R,J. Martinez,Mets,DH,4,R
2024-08-17,4:10 PM ET,Max Meyer,Marlins,R,Pete Alonso,Mets,1B,5,R
2024-08-17,4:10 PM ET,Max Meyer,Marlins,R,Jesse Winker,Mets,RF,6,L
2024-08-17,4:10 PM ET,Max Meyer,Marlins,R,F. Alvarez,Mets,C,7,R
2024-08-17,4:10 PM ET,Max Meyer,Marlins,R,Jeff McNeil,Mets,2B,8,L
2024-08-17,4:10 PM ET,Max Meyer,Marlins,R,H. Bader,Mets,CF,9,R
2024-08-17,4:10 PM ET,Jeffrey Springs,Rays,L,Ketel Marte,Diamondbacks,DH,1,S
2024-08-17,4:10 PM ET,Jeffrey Springs,Rays,L,J. McCarthy,Diamondbacks,CF,2,L
2024-08-17,4:10 PM ET,Jeffrey Springs,Rays,L,L. Gurriel,Diamondbacks,LF,3,R
2024-08-17,4:10 PM ET,Jeffrey Springs,Rays,L,Josh Bell,Diamondbacks,1B,4,S
2024-08-17,4:10 PM ET,Jeffrey Springs,Rays,L,R. Grichuk,Diamondbacks,RF,5,R
2024-08-17,4:10 PM ET,Jeffrey Springs,Rays,L,E. Suarez,Diamondbacks,3B,6,R
2024-08-17,4:10 PM ET,Jeffrey Springs,Rays,L,Kevin Newman,Diamondbacks,2B,7,R
2024-08-17,4:10 PM ET,Jeffrey Springs,Rays,L,G. Perdomo,Diamondbacks,SS,8,S
2024-08-17,4:10 PM ET,Jeffrey Springs,Rays,L,Jose Herrera,Diamondbacks,C,9,S
2024-08-17,4:10 PM ET,Zac Gallen,Diamondbacks,R,Yandy Diaz,Rays,DH,1,R
2024-08-17,4:10 PM ET,Zac Gallen,Diamondbacks,R,Brandon Lowe,Rays,1B,2,L
2024-08-17,4:10 PM ET,Zac Gallen,Diamondbacks,R,C. Morel,Rays,2B,3,R
2024-08-17,4:10 PM ET,Zac Gallen,Diamondbacks,R,Josh Lowe,Rays,RF,4,L
2024-08-17,4:10 PM ET,Zac Gallen,Diamondbacks,R,J. Caminero,Rays,3B,5,R
2024-08-17,4:10 PM ET,Zac Gallen,Diamondbacks,R,D. Carlson,Rays,LF,6,S
2024-08-17,4:10 PM ET,Zac Gallen,Diamondbacks,R,Jonny DeLuca,Rays,CF,7,R
2024-08-17,4:10 PM ET,Zac Gallen,Diamondbacks,R,Taylor Walls,Rays,SS,8,S
2024-08-17,4:10 PM ET,Zac Gallen,Diamondbacks,R,Alex Jackson,Rays,C,9,R
2024-08-17,6:05 PM ET,C. Sanchez,Phillies,L,Alex Call,Nationals,RF,1,R
2024-08-17,6:05 PM ET,C. Sanchez,Phillies,L,CJ Abrams,Nationals,SS,2,L
2024-08-17,6:05 PM ET,C. Sanchez,Phillies,L,Juan Yepez,Nationals,1B,3,R
2024-08-17,6:05 PM ET,C. Sanchez,Phillies,L,James Wood,Nationals,LF,4,L
2024-08-17,6:05 PM ET,C. Sanchez,Phillies,L,A. Chaparro,Nationals,DH,5,R
2024-08-17,6:05 PM ET,C. Sanchez,Phillies,L,I. Vargas,Nationals,3B,6,S
2024-08-17,6:05 PM ET,C. Sanchez,Phillies,L,Riley Adams,Nationals,C,7,R
2024-08-17,6:05 PM ET,C. Sanchez,Phillies,L,Luis Garcia,Nationals,2B,8,L
2024-08-17,6:05 PM ET,C. Sanchez,Phillies,L,Jacob Young,Nationals,CF,9,R
2024-08-17,6:05 PM ET,MacKenzie Gore,Nationals,L,K. Schwarber,Phillies,DH,1,L
2024-08-17,6:05 PM ET,MacKenzie Gore,Nationals,L,Trea Turner,Phillies,SS,2,R
2024-08-17,6:05 PM ET,MacKenzie Gore,Nationals,L,Bryce Harper,Phillies,1B,3,L
2024-08-17,6:05 PM ET,MacKenzie Gore,Nationals,L,Alec Bohm,Phillies,3B,4,R
2024-08-17,6:05 PM ET,MacKenzie Gore,Nationals,L,N. Castellanos,Phillies,RF,5,R
2024-08-17,6:05 PM ET,MacKenzie Gore,Nationals,L,J. Realmuto,Phillies,C,6,R
2024-08-17,6:05 PM ET,MacKenzie Gore,Nationals,L,W. Wilson,Phillies,LF,7,R
2024-08-17,6:05 PM ET,MacKenzie Gore,Nationals,L,Edmundo Sosa,Phillies,2B,8,R
2024-08-17,6:05 PM ET,MacKenzie Gore,Nationals,L,Johan Rojas,Phillies,CF,9,R
2024-08-17,6:40 PM ET,Nick Lodolo,Reds,L,M. Garcia,Royals,2B,1,R
2024-08-17,6:40 PM ET,Nick Lodolo,Reds,L,Bobby Witt,Royals,SS,2,R
2024-08-17,6:40 PM ET,Nick Lodolo,Reds,L,V. Pasquantino,Royals,DH,3,L
2024-08-17,6:40 PM ET,Nick Lodolo,Reds,L,S. Perez,Royals,1B,4,R
